t_seconds,rms,spectral_centroid_hz,spectral_spread_hz,spectral_rolloff_hz,spectral_flatness,zcr,peak_hz,frame_index,spectral_spread_khz
123.392,0.09428381,4299.221820002462,4153.138322119697,8484.375,0.0032431846,0.08642578125,70.3125,11568,4.1531383221196965
123.40266666666666,0.097813696,3904.673623376536,4106.291962156684,7968.75,0.0022775347,0.07763671875,70.3125,11569,4.106291962156685
123.41333333333333,0.09964495,4444.1315731967225,4366.873409987953,9445.3125,0.007627596,0.08984375,70.3125,11570,4.366873409987953
123.424,0.1174935,5065.516702168734,4483.982411353932,10523.4375,0.015161133,0.11328125,70.3125,11571,4.4839824113539315
123.43466666666667,0.10562483,5268.96944769166,4366.726252108899,10453.125,0.015421082,0.142578125,210.9375,11572,4.366726252108899
123.44533333333334,0.092551254,5731.03663558896,4211.228638524236,10523.4375,0.017120766,0.16259765625,210.9375,11573,4.211228638524236
123.456,0.087852836,5880.9752915643385,4157.261675911328,10570.3125,0.013409214,0.1767578125,210.9375,11574,4.157261675911328
123.46666666666667,0.081753574,5869.369888653055,4154.325474727846,10523.4375,0.012062683,0.17138671875,210.9375,11575,4.154325474727846
123.47733333333333,0.070927225,5859.342534878634,4178.4851220998635,10523.4375,0.011764083,0.171875,210.9375,11576,4.178485122099864
123.488,0.059885062,5771.392237027017,4271.998719642025,10640.625,0.011990387,0.1796875,210.9375,11577,4.271998719642025
123.49866666666667,0.04892325,5894.336696350775,4390.281876434499,11015.625,0.0102690635,0.173828125,984.375,11578,4.390281876434499
123.50933333333333,0.044807736,5770.289281421237,4571.53185240798,11156.25,0.00821496,0.16845703125,984.375,11579,4.57153185240798
123.52,0.04079883,5616.401191184925,4649.383399141827,11320.3125,0.0066623073,0.158203125,984.375,11580,4.6493833991418265
123.53066666666666,0.03666194,5554.217308593122,4657.980759294648,11296.875,0.007784257,0.14501953125,984.375,11581,4.657980759294648
123.54133333333333,0.032942627,5495.047419335081,4657.3929170318115,11320.3125,0.008116099,0.15185546875,984.375,11582,4.657392917031811
123.552,0.031844925,5356.616381812277,4672.641923402573,11296.875,0.007338584,0.146484375,1125.0,11583,4.672641923402574
123.56266666666667,0.03211934,5308.518842520622,4688.622282603414,11296.875,0.0066864775,0.13916015625,1125.0,11584,4.688622282603413
123.57333333333334,0.033414315,5107.000904173791,4605.422028095036,11062.5,0.0056647905,0.130859375,1101.5625,11585,4.6054220280950355
123.584,0.033517387,5006.789000099599,4580.170627093284,10875.0,0.0048249336,0.1103515625,1125.0,11586,4.580170627093284
123.59466666666667,0.033575464,4975.0242627165,4537.088425740075,10710.9375,0.0044568744,0.10546875,1101.5625,11587,4.537088425740075
123.60533333333333,0.035150517,4914.580847069123,4486.715333728561,10640.625,0.0039460096,0.10791015625,1101.5625,11588,4.486715333728561
123.616,0.036299217,4913.996212552916,4495.931205151974,10687.5,0.003927406,0.10693359375,1101.5625,11589,4.495931205151973
123.62666666666667,0.044816528,4455.275972782139,4493.243748986732,10195.3125,0.0048247557,0.12744140625,1101.5625,11590,4.493243748986732
123.63733333333333,0.07923694,5368.611188094975,4777.031396227945,10804.6875,0.012657964,0.1416015625,93.75,11591,4.777031396227946
123.648,0.0945019,6272.105775677398,4823.873628967032,11625.0,0.021204071,0.1474609375,117.1875,11592,4.823873628967032
123.65866666666666,0.09931805,5781.045709551921,4932.943394693539,11484.375,0.014409342,0.1328125,117.1875,11593,4.932943394693539
123.66933333333333,0.097143866,5074.650722807592,4851.978550113963,10921.875,0.0075005605,0.1220703125,117.1875,11594,4.851978550113963
123.68,0.08550102,4913.979588952652,4777.7739313408265,10734.375,0.006257565,0.09130859375,117.1875,11595,4.7777739313408265
123.69066666666667,0.081318334,4629.795716985866,4734.174101365105,10500.0,0.0046785064,0.09326171875,117.1875,11596,4.734174101365105
123.70133333333334,0.07967329,4579.311653630179,4689.104275520781,10335.9375,0.0032179055,0.08837890625,117.1875,11597,4.689104275520781
123.712,0.0926433,4034.1744793890593,4502.819433414843,9539.0625,0.0018582899,0.06591796875,281.25,11598,4.502819433414843
123.72266666666667,0.09613851,3712.004954585186,4389.448117193242,9164.0625,0.0013120888,0.0625,257.8125,11599,4.3894481171932425
123.73333333333333,0.09320145,3485.274097172702,4291.200554523071,8742.1875,0.0011203778,0.04931640625,257.8125,11600,4.291200554523071
123.744,0.09332242,3649.1173532902867,4209.882466398513,8648.4375,0.001699408,0.06884765625,281.25,11601,4.209882466398513
123.75466666666667,0.088585526,4105.816068666064,4218.004925255124,9000.0,0.0028145635,0.10205078125,117.1875,11602,4.218004925255125
123.76533333333333,0.0713602,4796.566334403519,4095.1305289553547,9281.25,0.0062407637,0.12939453125,117.1875,11603,4.095130528955354
123.776,0.05939224,4938.880746722534,4031.9219127915444,9492.1875,0.0080095595,0.1435546875,117.1875,11604,4.031921912791544
123.78666666666666,0.048657347,4944.363884122222,4027.358486020621,9492.1875,0.007928952,0.1494140625,281.25,11605,4.027358486020621
123.79733333333333,0.03856234,4855.7272083055295,3944.0173444387387,9164.0625,0.0068069706,0.12060546875,281.25,11606,3.9440173444387385
123.808,0.03867109,4181.156701301359,3854.629513161223,8390.625,0.0038398725,0.109375,820.3125,11607,3.854629513161223
123.81866666666667,0.03559423,3572.459844126974,3791.8138567341857,7851.5625,0.0016066184,0.09912109375,796.875,11608,3.7918138567341857
123.82933333333334,0.020477364,3708.409756295565,3911.530547222715,8250.0,0.0019392711,0.10302734375,93.75,11609,3.911530547222715
123.84,0.02626165,5795.108027463228,4421.759721475546,10757.8125,0.034014694,0.125,468.75,11610,4.421759721475546
123.85066666666667,0.095124096,5330.263221231043,4593.702631142976,10617.1875,0.02348459,0.1103515625,398.4375,11611,4.5937026311429765
123.86133333333333,0.1607617,4621.413641812598,4715.176523428115,10242.1875,0.008407812,0.095703125,93.75,11612,4.715176523428115
123.872,0.15453124,4265.99667766982,4659.334278696363,9984.375,0.0034220524,0.060546875,93.75,11613,4.659334278696363
123.88266666666667,0.18047807,3967.7587360856733,4598.156151934185,9726.5625,0.0015672932,0.0263671875,93.75,11614,4.598156151934185
123.89333333333333,0.17672628,3859.185909962102,4624.874289395078,9656.25,0.00096354954,0.0263671875,93.75,11615,4.624874289395079
123.904,0.13244703,4178.942394974854,4954.269574148663,10218.75,0.0019493967,0.02294921875,93.75,11616,4.954269574148663
123.91466666666666,0.13544005,4384.583465308812,5448.85415727451,10804.6875,0.0024575489,0.02587890625,70.3125,11617,5.44885415727451
123.92533333333333,0.15677851,4449.616592584967,5728.315237530623,11343.75,0.0018178875,0.025390625,70.3125,11618,5.728315237530623
123.936,0.16062446,4026.1778262989387,5451.310422662219,10523.4375,0.0011283517,0.01806640625,70.3125,11619,5.451310422662219
123.94666666666667,0.14969172,3351.934945479409,4812.579978089402,9257.8125,0.00078423694,0.01904296875,70.3125,11620,4.812579978089402
123.95733333333334,0.1203481,3502.1941736352273,4638.416235103088,9515.625,0.00093452714,0.02001953125,70.3125,11621,4.638416235103088
123.968,0.08955257,3948.7004132068328,4746.298335362126,9960.9375,0.0018273459,0.02783203125,46.875,11622,4.746298335362126
123.97866666666667,0.06977192,4153.243265013474,4733.105827619775,10007.8125,0.00292549,0.041015625,46.875,11623,4.733105827619775
123.98933333333333,0.063138984,4131.31772551404,4595.613916789225,9867.1875,0.0028780156,0.0517578125,187.5,11624,4.595613916789225
124.0,0.063693285,3920.53978965405,4505.155478354448,9585.9375,0.0021026623,0.05322265625,187.5,11625,4.505155478354448
124.01066666666667,0.06736056,3635.960345849923,4440.886826680077,9234.375,0.0015597702,0.0546875,187.5,11626,4.440886826680077
124.02133333333333,0.07130968,3348.8513744494226,4367.949286201589,8812.5,0.0011931247,0.04736328125,70.3125,11627,4.367949286201589
124.032,0.071770005,3449.0857258985943,4430.626514783667,8953.125,0.0012875585,0.04345703125,70.3125,11628,4.4306265147836665
124.04266666666666,0.07325743,3433.9687392366977,4403.781783717633,8835.9375,0.0013655868,0.046875,70.3125,11629,4.4037817837176325
124.05333333333333,0.0746079,3406.0709897170655,4368.019022264729,8625.0,0.0015445335,0.05615234375,70.3125,11630,4.368019022264729
124.064,0.0782416,5214.257647551991,4770.486238625867,10992.1875,0.010772473,0.072265625,70.3125,11631,4.7704862386258675
124.07466666666667,0.1162626,5620.186040617582,4870.361092424816,11343.75,0.012596318,0.076171875,164.0625,11632,4.870361092424816
124.08533333333334,0.13265474,5449.0082664424535,4950.987487779233,11226.5625,0.007674069,0.07861328125,164.0625,11633,4.950987487779233
124.096,0.15815899,4982.338616989118,4926.6271137078975,10851.5625,0.003676392,0.064453125,117.1875,11634,4.926627113707897
124.10666666666667,0.16635354,4575.06641599865,4815.201681709559,10500.0,0.0021315734,0.04638671875,93.75,11635,4.815201681709559
124.11733333333333,0.17213212,4368.3320658246375,4728.652580901288,10429.6875,0.0013282032,0.0576171875,70.3125,11636,4.728652580901288
124.128,0.13898554,4674.126048950978,4750.652848005421,10570.3125,0.0019613765,0.0517578125,70.3125,11637,4.750652848005421
124.13866666666667,0.097041324,5080.009041488369,4733.024015359859,10898.4375,0.0037546218,0.08642578125,70.3125,11638,4.733024015359859
124.14933333333333,0.0805843,5368.198607983181,4783.223549543624,11203.125,0.0057704924,0.11083984375,70.3125,11639,4.783223549543624
124.16,0.0723137,5857.798213692286,4753.85404566717,11390.625,0.010047236,0.12646484375,187.5,11640,4.75385404566717
124.17066666666666,0.08349896,5645.995567868789,4760.316984067215,11226.5625,0.009271289,0.1533203125,187.5,11641,4.760316984067216
124.18133333333333,0.08874588,5776.730066455126,4773.957008009003,11203.125,0.0098826075,0.15869140625,70.3125,11642,4.7739570080090035
124.192,0.0910723,6346.525983818535,4908.830899748747,11835.9375,0.016426407,0.1845703125,70.3125,11643,4.908830899748747
124.20266666666667,0.10002869,6735.6322872404835,5312.511835128665,12398.4375,0.02312358,0.17138671875,70.3125,11644,5.312511835128665
124.21333333333334,0.09689429,7186.759361404265,5524.220873510125,12914.0625,0.028334968,0.19287109375,70.3125,11645,5.524220873510125
124.224,0.08708077,7682.890203549043,5589.4936607698455,13546.875,0.03441884,0.22119140625,70.3125,11646,5.589493660769845
124.23466666666667,0.09227051,7885.387660596937,5681.004578878133,13804.6875,0.034658045,0.20361328125,70.3125,11647,5.681004578878133
124.24533333333333,0.09053397,8097.718650103895,5566.006465755228,13734.375,0.03920531,0.23681640625,70.3125,11648,5.566006465755229
124.256,0.092386246,7866.0021193730745,5469.999111004766,13335.9375,0.03778065,0.21435546875,70.3125,11649,5.469999111004766
124.26666666666667,0.09273633,6845.399663746619,5321.9980396609035,12468.75,0.030128019,0.169921875,70.3125,11650,5.321998039660904
124.27733333333333,0.101124845,5158.783432421586,4678.576261812395,10992.1875,0.019732108,0.1640625,70.3125,11651,4.678576261812395
124.288,0.13062471,4918.580125380789,4345.4378372391175,9890.625,0.015060006,0.14111328125,703.125,11652,4.345437837239118
124.29866666666666,0.11475587,5487.7707917951575,4485.7001236223505,10593.75,0.018187154,0.1572265625,703.125,11653,4.48570012362235
124.30933333333333,0.09323654,6009.277634502492,4388.665464952907,11156.25,0.024668206,0.16943359375,210.9375,11654,4.388665464952907
124.32,0.089197956,5861.87814701252,4315.541106954357,10851.5625,0.020135358,0.1787109375,210.9375,11655,4.315541106954357
124.33066666666667,0.08606386,5610.817671632964,4174.543298415541,10523.4375,0.013198471,0.169921875,210.9375,11656,4.174543298415541
124.34133333333334,0.0834041,5693.039479354858,4132.644815274802,10546.875,0.010782627,0.16015625,632.8125,11657,4.132644815274801
124.352,0.07593449,5579.022526717652,4239.193602594716,10523.4375,0.008655513,0.1533203125,609.375,11658,4.239193602594717
124.36266666666667,0.06092575,5696.488966278177,4422.609037579776,10851.5625,0.010781837,0.146484375,609.375,11659,4.422609037579776
124.37333333333333,0.05245774,5913.853916814713,4693.70934506366,11156.25,0.012881856,0.1357421875,445.3125,11660,4.69370934506366
124.384,0.050036892,6071.505054424349,5036.21184036458,11484.375,0.011835032,0.12158203125,445.3125,11661,5.03621184036458
124.39466666666667,0.048864596,6253.60191651029,5192.476924209326,11742.1875,0.009800947,0.1171875,445.3125,11662,5.192476924209326
124.40533333333333,0.0490026,6329.315084007325,5235.580349379611,11742.1875,0.009610605,0.11669921875,445.3125,11663,5.235580349379611
